,collocate,raw_frequency,MI
1872,"stout,",84,4.985582849082163
1873,red-faced,32,5.95066374512575
1874,preferred,373,3.494821228281661
1875,final,450,3.3071520651611115
1876,parting,365,3.516502294342985
1877,arrived.,118,4.645715023459812
1878,best,4524,2.0978600993575753
1879,motto,43,5.655199532231914
1880,have;,57,5.373348380090927
1881,Hollingford;,10,7.113814554931431
1882,appointed,302,3.705972630550607
1883,greater,962,2.5473851972597705
1884,families,230,3.9783203390022814
1885,himself.,1755,3.332469873145401
1886,Have,738,2.8124558233250045
1887,too.,989,2.5197053163027645
1888,cleverest,47,5.566252046215419
1889,England,1063,2.447549269583529
1890,shan't,401,3.4224382206189077
1891,involved,212,4.059813373253465
1892,hours,1646,2.010296266688462
1893,dining-room,215,4.045761619797814
1894,gorge,37,5.805481735281252
1895,able,2305,2.7721759811628375
1896,fact,2021,3.4144898429559563
1897,"Hollingford,",38,5.778813488199091
1898,notion,613,3.691181892549211
1899,having,5861,2.349762043883148
1900,"praised,",12,6.931492998137476
1901,delicacy,177,4.240249915351647
1902,health.,159,5.040642626265191
1903,cunning,176,4.245915652887325
1904,Gibson,659,2.9256761134229694
1905,"gravel-soil,",1,9.416399647925477
1906,undertake,182,4.905540141408626
1907,"""Is",1228,2.303257539218389
1908,"coming,",249,4.592093932020714
1909,"Miss?""",12,7.624640178697422
1910,chance.,178,4.234616097633392
1911,Is,1383,2.877536496820664
1912,dumb,192,4.1589042758976955
1913,"beasts,",42,5.678730029642108
1914,th',861,3.3514523240576914
1915,regular,468,3.26793135200783
1916,"came.""",29,6.049103817939002
1917,Molly,1284,2.2586641636755704
1918,held,3604,1.9197472097571937
1919,hand;,298,3.7193061614200724
1920,mere,1813,2.6068086177305707
1921,it's,3954,1.1339166441949147
1922,probable,286,3.760407837105624
1923,illness,277,3.792382141738138
1924,praised,212,4.059813373253465
1925,skill,260,3.855718016909949
1926,unknown,583,3.0482124615749844
1927,illness.,80,5.72752019381154
1928,father,5559,1.891838421640117
1929,compressed,62,5.289265262880385
1930,father.,736,2.8151695291966004
1931,"No!""",12,6.931492998137476
1932,collected,182,4.212392960848681
1933,linger,89,4.927763278193337
1934,delirious,31,5.982412443440331
1935,lethargic;,2,8.723252467365532
1936,forbade,92,4.8946110708764365
1937,painfully,175,4.2516136740019626
1938,"pulpit.""",1,9.416399647925477
1939,Was,1120,3.493927972304446
1940,earnest?,12,6.931492998137476
1941,Strongly,3,8.317787359257368
1942,earnest;,16,6.643810925685695
1943,"meant,",151,4.399119811110553
1944,"probably,",111,4.706869446613142
1945,warned,270,5.4274156013612025
1946,house;,320,3.6480786521317046
1947,safely,291,3.743076380753984
1948,reach.,93,4.883800154772221
1949,competent,54,5.4274156013612025
1950,place,5544,1.489075287615683
1951,"you,""",1142,2.375863257709521
1952,"""Your",699,2.8667489056916664
1953,"sister,",622,2.9834595551862972
1954,"find,",107,4.74357081346357
1955,meeting,919,3.286260706129735
1956,spoiled,181,4.217902616659651
1957,"ventured,",13,6.85145029046394
1958,"Eunice,",29,6.049103817939002
1959,"health,",303,3.7026668424161078
1960,malady,61,5.305525783752166
1961,Writer's,1,9.416399647925477
1962,Cramp.,5,7.8069617354913765
1963,nothing.,920,2.592025977882391
1964,"opened,",295,3.729424291585657
1965,state,1844,2.589854424368883
1966,violent,471,3.261541553909059
1967,administered,77,5.072594226071793
1968,composing,51,5.484574015201151
1969,medicine.,18,6.5260278900293125
1970,mischief,198,4.128132617230942
1971,showed,1938,2.9456001441428747
1972,"itself,",499,3.2037935521739582
1973,tells,495,4.5981362464766775
1974,"us,",2416,2.3196782694307165
1975,derangement,3,8.317787359257368
1976,"sad,",178,4.234616097633392
1977,not?,347,3.5670748679786177
1978,precious,570,3.070763287096881
1979,"random,""",1,9.416399647925477
1980,insisted.,50,5.504376642497331
1981,paying,312,3.6733964601159945
1982,visit,1435,2.8406267002917005
1983,"to-day,",352,3.55276847232738
1984,nobody,1148,2.370623071045965
1985,produced,581,3.0516488910735653
1986,lamentable,67,5.21170702853451
1987,"break-down,""",1,9.416399647925477
1988,Gracedieu,57,5.373348380090927
1989,"experience.""",17,6.583186303869261
1990,wanted,3249,2.7165914733762673
1991,Gracedieu's,46,5.587758251436382
1992,room.,1631,3.118063333972573
1993,hurt,777,3.4541064781177746
1994,descended,436,3.3387574045764423
1995,"stairs,",329,3.620341897160105
1996,safe,921,2.59093961167017
1997,"placed,",39,5.752838001795831
1998,discovered,826,2.699804874404499
1999,discreet,96,4.852051456457641
2000,"lock,",57,5.373348380090927
2001,open,3249,1.3302971122563765
2002,door.,1388,2.8739276874186723
2003,CHAPTER,3256,2.021292101362991
